,total_tweets,avg_tweet_length,avg_sentiment,activity_duration,degree,rumor_ratio,events,neighbors,rumor_tweets,non_rumor_tweets,total_tweets
2911191121,2,52.5,-0.012331247329711914,1997271.0,2,0.5,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""384779793"", ""177886974""]",1,1,2
102149847,4,72.0,-0.33329588174819946,2169797.0,3,1.0,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""384779793"", ""51241574"", ""14293310""]",4,0,4
25067168,7,118.28571428571429,-0.615983784198761,6565211.0,44,0.7142857142857143,"[""charliehebdo-all-rnr-threads"", ""germanwings-crash-all-rnr-threads""]","[""2206690108"", ""376679692"", ""1550984940"", ""55771784"", ""33668152"", ""66291237"", ""546134107"", ""935302063"", ""58054668"", ""34033504"", ""2407727400"", ""1867323613"", ""302802506"", ""104394500"", ""370666310"", ""73081987"", ""427588761"", ""2711184886"", ""200468277"", ""2304287907"", ""2459278543"", ""993859812"", ""116402034"", ""1221129204"", ""241309199"", ""24118236"", ""56666374"", ""122025735"", ""9114032"", ""2413247540"", ""2875761863"", ""1357102304"", ""41964836"", ""2494313337"", ""76987535"", ""558096359"", ""707502001"", ""1635904842"", ""40420774"", ""2950954733"", ""869413422"", ""632834693"", ""1348798826"", ""27233309""]",5,2,7
14569869,8,124.375,-0.6190893054008484,8591747.0,61,0.625,"[""charliehebdo-all-rnr-threads"", ""germanwings-crash-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""315326703"", ""108171720"", ""2172247089"", ""201825680"", ""2483752741"", ""279178451"", ""60526729"", ""23444554"", ""16901935"", ""30186455"", ""52404825"", ""1234987687"", ""486165114"", ""27151453"", ""55218013"", ""802057369"", ""25995131"", ""335230484"", ""163852928"", ""21565433"", ""232510233"", ""20167195"", ""73509960"", ""14569869"", ""522638276"", ""2888296032"", ""2279864526"", ""2471587969"", ""1106204762"", ""2780648743"", ""285089704"", ""1121260147"", ""470436587"", ""2905542639"", ""968138851"", ""893485608"", ""921217862"", ""1241486952"", ""2893611147"", ""2417900712"", ""895570464"", ""716027743"", ""20232263"", ""75613253"", ""2627038460"", ""23430012"", ""1914421867"", ""467290324"", ""68397297"", ""1357583305"", ""365528020"", ""19498310"", ""32245985"", ""20422957"", ""1348798826"", ""2924844507"", ""31480794"", ""418854161"", ""1852187108"", ""221310328"", ""3091317905""]",5,3,8
315326703,6,105.66666666666667,-0.3919459780057271,1981978.0,3,0.6666666666666666,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""7587032"", ""64643056"", ""14569869""]",4,2,6
22240612,3,115.66666666666667,-0.7131050825119019,8576105.0,18,0.6666666666666666,"[""charliehebdo-all-rnr-threads"", ""germanwings-crash-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""114923863"", ""22763983"", ""37629266"", ""1130203891"", ""243495444"", ""211639643"", ""2566535282"", ""1672452854"", ""3082649305"", ""88728383"", ""2241901423"", ""23417338"", ""598684128"", ""58743465"", ""547071660"", ""503203687"", ""1530746612"", ""245725998""]",2,1,3
547071660,7,81.42857142857143,-0.4296206406184605,2023066.0,3,0.7142857142857143,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""22021978"", ""459390022"", ""22240612""]",5,2,7
87416722,38,114.97368421052632,-0.5458183445428547,13381998.0,419,0.8421052631578947,"[""charliehebdo-all-rnr-threads"", ""germanwings-crash-all-rnr-threads"", ""ottawashooting-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""191146381"", ""2747175253"", ""203122412"", ""2732961533"", ""220223791"", ""239834621"", ""82901787"", ""819134659"", ""49731754"", ""705123059"", ""559396058"", ""145687776"", ""1905556350"", ""483998751"", ""1243715287"", ""147181485"", ""225893954"", ""267876593"", ""218159431"", ""1951178581"", ""550415486"", ""995397505"", ""407661988"", ""388768535"", ""1474332679"", ""363222560"", ""358284864"", ""2842312205"", ""429930033"", ""16947403"", ""186223456"", ""2434772232"", ""2429279764"", ""208984397"", ""221804660"", ""42719424"", ""526197032"", ""295348538"", ""1291034648"", ""171145213"", ""91093655"", ""2933943867"", ""281737861"", ""2582427774"", ""62862239"", ""1600900638"", ""948928304"", ""203679586"", ""227782167"", ""187387276"", ""384529217"", ""906933410"", ""90888044"", ""112189017"", ""260864726"", ""18687276"", ""192744648"", ""243121060"", ""2263772618"", ""16724607"", ""2958552807"", ""602017519"", ""20036134"", ""155187280"", ""2339751753"", ""2654320636"", ""2859122517"", ""249130717"", ""139876129"", ""76779374"", ""18845980"", ""395446240"", ""383424401"", ""188507421"", ""286374794"", ""245308008"", ""2523423999"", ""172488281"", ""87266142"", ""312348051"", ""2842724201"", ""1202276791"", ""118077973"", ""23792545"", ""2418473433"", ""539116569"", ""385935972"", ""38670249"", ""2766568073"", ""937751498"", ""921320174"", ""1020681224"", ""19466430"", ""2884577892"", ""908214080"", ""777548653"", ""195510381"", ""351263372"", ""315498872"", ""226299861"", ""179483838"", ""34465477"", ""1022571973"", ""541775049"", ""86395110"", ""172804217"", ""9055772"", ""36941760"", ""199007460"", ""189579869"", ""571262169"", ""81227900"", ""143182513"", ""20856538"", ""84464003"", ""806713213"", ""124774303"", ""324529622"", ""206596726"", ""44883498"", ""845422015"", ""222796094"", ""343379535"", ""72588786"", ""158030840"", ""2448195321"", ""252287181"", ""227594086"", ""2862600845"", ""214462611"", ""289084923"", ""19349293"", ""513175616"", ""2939872661"", ""24777627"", ""921820068"", ""20041872"", ""407978238"", ""703223386"", ""386471391"", ""1130935460"", ""285048452"", ""1292381898"", ""166758079"", ""48304732"", ""615160218"", ""2182840076"", ""27346105"", ""62591883"", ""33196223"", ""1437948078"", ""2151615237"", ""238707598"", ""45953887"", ""23238499"", ""208480735"", ""209636315"", ""729145220"", ""250600508"", ""436685523"", ""158661955"", ""550454381"", ""285493238"", ""66379716"", ""179519496"", ""21612139"", ""349766971"", ""24282590"", ""81856960"", ""224403587"", ""67924459"", ""1626325842"", ""43598441"", ""304339385"", ""253646082"", ""2773995686"", ""145777083"", ""2545113975"", ""146199428"", ""2464502209"", ""17713530"", ""2951345235"", ""372703979"", ""1216469426"", ""631876809"", ""1201839704"", ""221370044"", ""954530826"", ""156668129"", ""574718143"", ""1018544503"", ""1104066115"", ""16195103"", ""1434028597"", ""309142386"", ""388156578"", ""397512639"", ""2322458507"", ""407273164"", ""30394227"", ""1929619202"", ""50671243"", ""2763818631"", ""622745714"", ""378188513"", ""30470640"", ""63224277"", ""302174491"", ""33169889"", ""2898256383"", ""1344175285"", ""110856651"", ""15507696"", ""18524109"", ""51109691"", ""249207023"", ""318716836"", ""157341362"", ""348608945"", ""267386083"", ""24875893"", ""1009543891"", ""2243504739"", ""292726322"", ""471897811"", ""19537549"", ""57023952"", ""23293888"", ""21929681"", ""1718603144"", ""64043937"", ""64657863"", ""3025149855"", ""2861194665"", ""240886720"", ""932819575"", ""27688964"", ""397930647"", ""597706051"", ""414247388"", ""299810381"", ""20428835"", ""120782305"", ""2504418569"", ""2419734564"", ""478402262"", ""1671271333"", ""194672239"", ""401218524"", ""25734092"", ""1372532851"", ""235865079"", ""2718279617"", ""287576440"", ""831840157"", ""103922613"", ""291355998"", ""206330242"", ""570287667"", ""483374202"", ""749000928"", ""537487633"", ""2613224950"", ""1298174406"", ""26550932"", ""264268327"", ""192359034"", ""164050933"", ""26212879"", ""16681775"", ""241263178"", ""884264040"", ""528837552"", ""18975311"", ""29036071"", ""45114355"", ""263688853"", ""382791333"", ""462304626"", ""53880536"", ""18171434"", ""2609080965"", ""326382274"", ""1655525964"", ""794921233"", ""2925094346"", ""874385394"", ""316625731"", ""369408768"", ""2333715792"", ""20075307"", ""408421362"", ""772997556"", ""60634139"", ""2370908751"", ""309075828"", ""1184253228"", ""251792619"", ""2960490339"", ""175591388"", ""561121463"", ""18904196"", ""317902092"", ""21786638"", ""33689392"", ""2818020373"", ""434872912"", ""26482400"", ""495422346"", ""207960838"", ""1158170036"", ""161611216"", ""101445204"", ""32444081"", ""2432870707"", ""233885425"", ""220197973"", ""2256809998"", ""83421448"", ""352560642"", ""529660770"", ""17664062"", ""264125211"", ""259207823"", ""548766000"", ""369816192"", ""575616768"", ""2459707910"", ""34002867"", ""96417553"", ""1040687791"", ""113028815"", ""176466856"", ""351675635"", ""87136959"", ""310265421"", ""67016448"", ""1013937854"", ""175232190"", ""325510698"", ""2302407630"", ""261409977"", ""2293159495"", ""2904297721"", ""1223768887"", ""41146136"", ""67353252"", ""431590274"", ""15740635"", ""735554419"", ""398263845"", ""276614225"", ""108075653"", ""2749029470"", ""113398005"", ""1234987687"", ""21642088"", ""260797558"", ""121794872"", ""2779940700"", ""91862493"", ""188411123"", ""503507177"", ""62046136"", ""1430803813"", ""18466590"", ""47424036"", ""617229652"", ""243232619"", ""296948666"", ""23231169"", ""21509847"", ""2534441287"", ""296858138"", ""2848043788"", ""378213175"", ""1333122608"", ""83665850"", ""948517734"", ""179837791"", ""63708761"", ""2647331531"", ""2329395194"", ""2753302078"", ""531755631"", ""274880541"", ""449281486"", ""105623738"", ""701833698"", ""549532026"", ""39960151"", ""595828202"", ""50823122"", ""2530450641"", ""36629451"", ""857775810"", ""328093424"", ""441214199"", ""52090691"", ""44191692"", ""52011684"", ""477820454"", ""457736552"", ""292194848"", ""88650307"", ""1410065744"", ""83599454"", ""203365139"", ""309655617"", ""701132841"", ""941878034"", ""53764530"", ""246293216"", ""537538085"", ""1421147582"", ""195059447"", ""1847114280"", ""2276576072"", ""90743337""]",32,6,38
2654320636,12,106.5,-0.18998109797636667,2178068.0,1,0.75,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""87416722""]",9,3,12
243232619,4,41.5,-0.5348435491323471,1970533.0,2,0.5,"[""charliehebdo-all-rnr-threads"", ""sydneysiege-all-rnr-threads""]","[""1161902875"", ""87416722""]",2,2,4
